customer_id,first_name,last_name,email,region,loyalty_tier,join_date
154,Samuel,Cooper,james23@example.net,Northeast,Silver,2025-05-10
155,Katie,Washington,jacob47@example.net,Midwest,Silver,2025-08-08
156,Yolanda,Martin,leslie36@example.org,Northeast,Silver,2025-01-12
157,David,Green,fweiss@example.net,Southwest,Standard,2024-07-04
158,Brian,Lee,dyerjennifer@example.org,West,Platinum,2024-05-19
159,William,Valdez,robertlindsey@example.net,Northeast,Standard,2023-07-25
160,Lauren,Davis,dmoses@example.net,Midwest,Standard,2024-07-31
161,Rebekah,Guzman,donald42@example.net,Midwest,Silver,2024-01-14
162,Joy,Moore,brian92@example.net,Northeast,Standard,2024-02-21
163,James,Johnson,johnsontammy@example.org,West,Standard,2023-09-11
164,Jennifer,Singleton,susanstephenson@example.com,Northeast,Silver,2024-10-31
165,Katherine,Young,jacqueline29@example.org,Midwest,Standard,2024-11-27
166,Zachary,Patterson,haynescourtney@example.com,Southeast,Silver,2024-10-18
167,Amy,Henderson,mccallpatty@example.net,Southwest,Standard,2025-03-04
168,Hannah,Robinson,anitaschmidt@example.org,Midwest,Standard,2024-02-04
169,Marvin,Dougherty,wlong@example.com,Northeast,Standard,2025-06-09
170,Courtney,Zimmerman,,Southwest,Standard,2024-07-18
171,Ruth,Green,jacksonalicia@example.com,Northeast,Silver,2025-03-17
172,Tanya,Jones,ohart@example.com,Northeast,Standard,2026-05-19
173,Matthew,Winters,gking@example.net,Southeast,Silver,2023-08-11
174,Paul,Stout,sandrahooper@example.org,Southwest,Standard,2024-07-28
175,Michael,Shepard,craig88@example.net,Southwest,Silver,2024-05-31
176,Virginia,Tate,cmills@example.org,Southeast,Platinum,2023-08-20
177,Amanda,Pacheco,xmanning@example.org,Midwest,Silver,2025-03-28
178,Gary,Johnson,aaronsantiago@example.org,Northeast,Standard,2026-01-28
179,John,Roberts,charleskrueger@example.com,West,Standard,2025-07-31
180,Christopher,Weaver,allison73@example.net,Northeast,Standard,2023-07-04
181,Benjamin,Gray,,Northeast,Silver,2025-03-27
182,Victoria,Thompson,valerie61@example.net,Midwest,Standard,2024-09-14
183,Daniel,Garner,curtisroberts@example.com,Northeast,Standard,2025-11-12
184,Molly,Jones,williamsryan@example.com,Southeast,Silver,2025-01-16
185,Nicholas,Gibbs,stephen00@example.com,Southeast,Standard,2024-06-08
186,Nicole,Sanchez,omar12@example.org,Southwest,Gold,2025-07-18
187,Breanna,Stone,rodney81@example.net,West,Standard,2025-07-31
188,Mary,Johnson,lisawiggins@example.net,Northeast,Standard,2024-08-07
189,Johnny,Hamilton,christina90@example.com,Northeast,Silver,2023-09-10
190,Andrew,Anderson,wlynn@example.net,Midwest,Standard,2026-03-16
191,Keith,Henry,tammyclark@example.net,Southeast,Silver,2024-03-15
192,Tonya,Craig,wardrichard@example.net,West,Standard,2026-02-13
193,Angela,Frank,,Southwest,Standard,2025-11-09
194,Julie,Cameron,dsteele@example.net,Southeast,Gold,2026-04-30
195,Ann,Salazar,glennfarmer@example.org,Southwest,Gold,2025-03-03
196,Brian,Hurst,kbailey@example.net,Midwest,Silver,2026-01-26
197,Marissa,Ortega,nancy67@example.org,Midwest,Standard,2025-03-09
198,Megan,Deleon,hmann@example.org,Northeast,Silver,2025-07-10
199,Joy,Washington,johnsonstacy@example.com,West,Standard,2025-02-12
200,Michael,Bailey,tbrown@example.org,Southwest,Standard,2024-01-30
201,Sarah,Reyes,christina07@example.com,Southeast,Platinum,2023-11-18
202,Tina,Kemp,brandon07@example.org,Midwest,Standard,2024-03-10
203,Linda,Carson,robert16@example.com,Northeast,Platinum,2024-10-04
204,Jerome,Washington,millerjohn@example.com,Northeast,Standard,2024-02-22
205,Samantha,Wilkins,tammywheeler@example.com,Southwest,Standard,2023-07-03
206,Colleen,Lee,deniseanderson@example.com,Midwest,Silver,2026-04-11
207,David,Perez,fsantos@example.com,West,Gold,2025-11-24
208,Taylor,Cummings,watkinsbarbara@example.com,Midwest,Silver,2025-11-06
209,Lisa,Giles,smontes@example.com,Southwest,Gold,2024-04-11
210,Jason,Miles,jodi54@example.com,Southwest,Silver,2025-10-18
211,Melissa,Mccann,wrightsandra@example.net,Midwest,Silver,2026-04-07
212,Samantha,Johnson,ian02@example.com,Southwest,Gold,2024-05-07
213,Jennifer,Mendoza,ylindsey@example.org,Midwest,Standard,2025-11-29
214,David,Miller,ldavis@example.com,Southeast,Standard,2024-06-26
215,Robert,Ortiz,kellythomas@example.org,Midwest,Standard,2023-12-26
216,Alexandra,Martinez,bruce72@example.net,Midwest,Platinum,2024-04-16
217,Desiree,Pruitt,cdavis@example.com,Southwest,Platinum,2026-04-05
218,Lisa,Jackson,dean98@example.net,Southwest,Standard,2025-09-21
219,David,Bell,susan02@example.com,Northeast,Silver,2024-01-17
220,Mark,Diaz,ijackson@example.net,Northeast,Platinum,2025-06-21
221,Robert,Butler,jillhebert@example.com,Southeast,Standard,2023-08-07
222,Mary,Werner,brent12@example.com,Northeast,Silver,2025-04-02
223,Justin,Rollins,tracy04@example.com,Midwest,Platinum,2025-02-23
224,Brittany,Sherman,nataliewilliams@example.com,Southwest,Standard,2025-10-05
225,Vicki,Lynch,alexandriaoliver@example.com,Northeast,Silver,2024-08-06
226,Amanda,Cook,derekbush@example.org,Northeast,Standard,2023-08-07
227,Bridget,Day,jason97@example.org,Southeast,Platinum,2024-05-10
228,Megan,Johnson,qwallace@example.net,Southeast,Platinum,2025-01-31
229,Annette,Martinez,simmonscolleen@example.com,Midwest,Platinum,2024-10-13
230,Donna,West,smithjoseph@example.org,Southwest,Standard,2023-08-09
231,Gregory,Lucero,lauramiller@example.com,Southeast,Gold,2023-11-17
232,Robert,Patterson,coopercasey@example.net,Northeast,Gold,2024-07-30
233,Katie,Cole,brian28@example.com,Southwest,Standard,2025-10-29
234,Stephanie,Buck,julierodriguez@example.com,Southwest,Gold,2026-02-01
235,Austin,Bowen,jeremywheeler@example.com,Northeast,Standard,2025-05-19
236,Michael,Martinez,ugardner@example.org,Southeast,Silver,2023-07-19
237,Alex,Hall,williamnunez@example.org,Northeast,Standard,2024-10-20
238,John,Joseph,kenneth65@example.com,Southwest,Standard,2024-03-14
239,Kelly,Romero,ddavies@example.com,West,Standard,2024-05-17
240,Jaclyn,Moore,taylorsteven@example.com,West,Silver,2025-12-29
241,Matthew,Reid,davisjohn@example.net,Midwest,Standard,2025-06-28
242,Austin,Morris,christopherdavis@example.net,Northeast,Silver,2024-05-10
243,Margaret,White,cody22@example.org,Northeast,Standard,2023-07-31
244,Bruce,Becker,keithcastaneda@example.org,Midwest,Standard,2023-09-08
245,John,Morris,igarcia@example.net,Midwest,Silver,2024-12-23
246,Amanda,Reed,jamesrivas@example.com,Midwest,Gold,2024-03-11
247,Sharon,Gomez,pgarcia@example.com,Southwest,Standard,2023-06-12
248,Caleb,Zimmerman,jeremy82@example.org,Northeast,Silver,2023-06-24
249,David,Robinson,garciaashley@example.com,Southwest,Gold,2025-09-14
250,Travis,Leach,robert01@example.net,Midwest,Silver,2026-01-29
251,Matthew,Shields,janet66@example.com,Northeast,Standard,2026-03-27
252,Paul,Cooper,lewisdanielle@example.com,Southwest,Standard,2024-09-22
253,Kayla,Morton,sparker@example.net,Southwest,Gold,2025-02-26
254,Clarence,King,ybennett@example.net,Midwest,Standard,2024-05-27
255,Megan,Grant,hernandezkelsey@example.net,Northeast,Gold,2025-02-02
256,Alexandra,Malone,smithbill@example.net,Midwest,Silver,2023-07-08
257,Anthony,Wilson,angela71@example.net,Northeast,Platinum,2024-05-11
258,Sheila,Kelley,nguyenkeith@example.net,West,Gold,2026-01-23
259,Matthew,Mcdonald,antonio72@example.com,Southeast,Platinum,2025-02-23
260,Jack,Deleon,guzmanmichael@example.net,Southeast,Standard,2023-06-07
261,Oscar,Benitez,rogersdavid@example.org,Southeast,Gold,2024-03-15
262,Sarah,Schroeder,angelawilson@example.org,Midwest,Standard,2026-04-15
263,Diane,Tran,stanleyandrea@example.com,West,Standard,2025-04-20
264,Elizabeth,Watson,kevin21@example.net,Northeast,Silver,2025-01-25
265,Harold,Huffman,opeters@example.net,Southwest,Gold,2025-11-25
266,Chelsea,Davis,astephens@example.org,Northeast,Platinum,2026-04-11
267,Robert,Fleming,raymondromero@example.com,Southwest,Gold,2025-08-06
268,Tyler,Koch,hayneskristin@example.org,Northeast,Standard,2024-09-04
269,Leslie,Garcia,joshua54@example.org,West,Standard,2024-11-17
270,Wayne,Sanchez,conwaylisa@example.org,Southwest,Silver,2024-01-08
271,Robert,Gibson,josestewart@example.net,Midwest,Standard,2023-06-16
272,Laura,Thompson,courtneyjohnson@example.com,Northeast,Standard,2025-09-04
273,Nichole,Davis,latasha75@example.org,Northeast,Standard,2024-04-19
274,Sylvia,Deleon,butlerterri@example.net,Southwest,Standard,2025-03-13
275,Angela,Wilson,peter46@example.com,Midwest,Standard,2023-07-30
276,Charlotte,Davila,angelabrown@example.org,Midwest,Standard,2023-09-20
277,Aaron,Gilbert,balljessica@example.org,West,Standard,2023-10-17
278,Kylie,Barnes,mwright@example.net,Midwest,Standard,2024-07-08
279,Rhonda,Vargas,toddvaughan@example.com,Midwest,Platinum,2025-12-29
280,Martin,Graham,qberry@example.com,Midwest,Standard,2025-03-01
281,Tina,Hall,wspence@example.org,Southeast,Standard,2026-02-06
282,Andrew,Mullins,brittanywilliams@example.org,West,Silver,2024-10-20
283,Scott,Cross,ucollins@example.net,Northeast,Standard,2024-03-23
284,April,Ryan,uperez@example.com,Southwest,Platinum,2024-09-21
285,Anthony,Gardner,jessica15@example.org,Northeast,Gold,2024-08-14
286,James,Sampson,johnbruce@example.com,West,Standard,2024-12-15
287,Michael,Bowers,slloyd@example.org,Southwest,Standard,2024-02-08
288,Joe,Maldonado,elizabeth00@example.com,West,Gold,2024-10-24
289,Stephanie,Murphy,mirandasullivan@example.net,Midwest,Platinum,2023-10-28
290,George,Young,elizabethcastillo@example.net,Southwest,Standard,2023-06-23
291,Christine,Koch,chad73@example.com,Midwest,Silver,2023-11-22
292,Michael,Lopez,michaelreed@example.org,Northeast,Standard,2023-08-20
293,Vanessa,Hines,beasleykellie@example.com,Northeast,Platinum,2026-02-14
294,Denise,Calderon,maryburton@example.net,Southwest,Standard,2023-09-29
295,Rachel,Saunders,janice37@example.org,Southwest,Platinum,2026-03-17
296,Ricky,Thomas,lewismichael@example.org,West,Silver,2024-02-17
297,Megan,Perez,iross@example.org,West,Silver,2023-07-11
298,Stephanie,Lindsey,michael34@example.org,Midwest,Silver,2024-09-26
299,Laurie,Richards,michael40@example.org,Southwest,Standard,2024-09-04
300,Paul,Wagner,,Northeast,Standard,2024-03-17
301,Judith,Duncan,aprilwilcox@example.com,West,Standard,2026-04-30
302,Jennifer,Klein,jsanders@example.net,West,Standard,2025-11-24
303,Katherine,Smith,kgraham@example.org,Northeast,Gold,2024-04-08
304,Sarah,French,dunnkaren@example.net,West,Standard,2026-02-10
305,Glenn,White,hubbardaaron@example.net,Midwest,Standard,2025-04-03
306,Mariah,Prince,dickersonrobert@example.com,Southwest,Platinum,2024-06-13
307,Tanya,Cole,josephnewton@example.org,Northeast,Gold,2025-01-01
308,David,Terry,craig94@example.net,Southwest,Platinum,2023-10-21
309,April,Patterson,lauren69@example.com,West,Platinum,2026-01-29
310,Natalie,Wang,ramosjason@example.net,West,Standard,2025-07-31
311,Stephanie,Powers,coopermichael@example.org,Northeast,Standard,2026-05-01
312,Robert,Horton,gabrielleabbott@example.org,Midwest,Gold,2026-02-24
313,Paige,Morse,jasminemorrison@example.net,Southeast,Silver,2025-10-23
314,Kyle,Whitehead,staylor@example.org,Northeast,Standard,2025-05-08
315,Vanessa,Wilson,santosdeanna@example.org,Southeast,Gold,2024-04-07
316,Danielle,Collins,hparker@example.com,Southeast,Standard,2024-10-15
317,Jacqueline,Odonnell,mcculloughderrick@example.net,Midwest,Standard,2025-01-20
318,Mary,Allen,trussell@example.org,Southeast,Silver,2025-03-18
319,Susan,Lewis,jose55@example.com,Southeast,Silver,2024-06-02
320,Jennifer,Mcintosh,travisfernandez@example.org,Midwest,Silver,2024-03-05
321,Joshua,Moran,taylorlarry@example.com,Southeast,Standard,2024-10-20
322,Vicki,Henderson,david04@example.com,Southeast,Gold,2023-09-09
323,Rachel,Fisher,,Southeast,Standard,2024-12-31
324,Charles,Avila,kelly73@example.org,Northeast,Standard,2024-10-01
325,Michele,Gibson,garcialisa@example.org,Northeast,Gold,2023-07-01
326,Maria,Glover,robin27@example.net,Northeast,Platinum,2025-04-23
327,Brooke,Davis,thorn@example.net,Midwest,Gold,2025-05-05
328,Gregory,Farley,lawsondale@example.com,West,Gold,2026-01-23
329,Brent,Walsh,samanthamccann@example.org,Southeast,Silver,2026-01-08
330,Anthony,Sharp,dbarnett@example.org,Southeast,Silver,2023-10-20
331,Michael,Santiago,bnoble@example.com,Midwest,Standard,2023-08-05
332,Alexandra,Griffin,estewart@example.com,Southeast,Standard,2024-10-18
333,Jonathan,Nash,lindseysullivan@example.net,Northeast,Standard,2025-01-20
334,Maria,Lopez,tonyajohnson@example.net,West,Standard,2025-01-24
335,James,Daniels,,Southwest,Silver,2023-08-16
336,Dean,Robinson,christopherclark@example.com,Southeast,Standard,2024-05-19
337,Marvin,Jimenez,haynesalan@example.net,Northeast,Standard,2024-02-09
338,Manuel,Davis,stokesvalerie@example.net,Southwest,Standard,2025-02-02
339,Nicole,Beard,rrussell@example.com,West,Silver,2023-07-05
340,Anthony,Stevenson,shawnmcmillan@example.org,Southwest,Standard,2024-11-21
341,Jesus,Fields,qnguyen@example.org,Northeast,Gold,2025-04-08
342,David,Sutton,nmcmillan@example.org,Southwest,Standard,2023-11-19
343,Robin,Wiley,dana38@example.org,Midwest,Standard,2026-03-20
344,Todd,Burke,brose@example.com,Southwest,Silver,2025-04-26
345,Rebecca,Collins,dustinnelson@example.com,Southeast,Gold,2024-03-19
346,Natasha,Rowe,emmafernandez@example.org,Southeast,Standard,2024-06-23
347,Michael,Pugh,amanning@example.net,Midwest,Silver,2026-04-15
348,Steven,Fleming,ywalter@example.com,Northeast,Silver,2024-06-07
349,Jennifer,Walsh,xperez@example.org,Southeast,Standard,2024-07-28
350,Sara,Williams,dustinwilliams@example.org,West,Gold,2025-03-19
351,Summer,Best,dgreer@example.org,Southeast,Gold,2025-10-16
352,Rebekah,Terry,esmith@example.net,Southeast,Silver,2024-03-23
353,Taylor,Young,pamela73@example.org,Northeast,Gold,2023-10-31
354,Lisa,Martin,montesjessica@example.org,Southwest,Gold,2026-04-30
355,Bryce,Phelps,allenangela@example.com,Southeast,Silver,2025-08-22
356,Nancy,Dominguez,paulpowell@example.com,Midwest,Gold,2025-07-10
357,Natasha,Lloyd,usmith@example.org,Southwest,Silver,2026-02-08
358,Lindsay,Hardy,brownamy@example.org,West,Silver,2024-10-29
359,Nicole,Robinson,jesus97@example.org,Northeast,Silver,2025-12-30
360,Elizabeth,Johnson,jasmine89@example.net,West,Gold,2025-07-22
361,Michelle,Vargas,robert91@example.com,Southwest,Standard,2026-02-16
362,Brian,Martin,reynoldsmichele@example.org,Southwest,Gold,2025-12-12
363,Holly,Hunt,,Southwest,Gold,2025-07-11
364,Richard,Webster,cjohnson@example.com,West,Standard,2024-10-28
365,Leonard,Murphy,maloneana@example.org,Southwest,Gold,2026-05-17
366,Brendan,Tran,mwhite@example.org,West,Standard,2024-05-29
367,Sean,Armstrong,ojones@example.com,Southwest,Standard,2024-02-10
368,Randall,Choi,thomas57@example.com,Midwest,Silver,2024-05-04
369,Danielle,Martinez,gvelazquez@example.org,Southwest,Standard,2024-12-25
370,Wendy,Christensen,peterthompson@example.org,West,Gold,2025-08-03
371,James,Brown,mmiller@example.net,Southeast,Gold,2025-10-26
372,James,Harris,melindamartin@example.net,Southwest,Silver,2025-02-10
373,Mary,Buchanan,,Southeast,Standard,2023-11-17
374,Kevin,Hooper,stevenalvarez@example.org,Midwest,Standard,2024-10-22
375,Melanie,Malone,meghanstevenson@example.net,Northeast,Silver,2025-11-22
376,Brian,Hutchinson,joan88@example.org,Midwest,Platinum,2025-12-11
377,Rebecca,Sullivan,russell87@example.net,Southwest,Silver,2025-12-28
378,Molly,Anderson,jenniferavila@example.net,Southeast,Standard,2025-05-22
379,Alicia,Meza,tina51@example.com,Southeast,Silver,2024-10-18
380,Rachael,Smith,jamesharris@example.net,West,Silver,2026-04-05
381,Jennifer,Ross,michaelconway@example.net,Southeast,Gold,2026-01-27
382,Christopher,Lopez,hammondchristopher@example.net,West,Standard,2023-10-16
383,William,Barber,kjenkins@example.org,Northeast,Gold,2023-12-03
